_id,nume_produs,valabilitate_produs,pret_produs,link_produs,imagine_produs,_id_principal_category,_id_second_category
evo_i5436,Cutter din titan Stanley cu lama trapez,In stoc (exclusiv online),"[[null,""74,99 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-cutter-din-titan-stanley-cu-lama-trapez-115690.html,https://static3.evomag.ro/img?file=products%2F115%2F115690%2FCutter+din+titan+Stanley+cu+lama+trapez.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5437,Foarfeca pentru tabla Stanley taietura pe dreapta,In stoc (exclusiv online),"[[null,""53,99 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-foarfeca-pentru-tabla-stanley-taietura-pe-dreapta-115701.html,https://static3.evomag.ro/img?file=products%2F115%2F115701%2FFoarfeca+pentru+tabla+Stanley+taietura+pe+dreapta+1.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5438,"Bomfaier pentru metal Stanley 1-15-123, 300 mm",In stoc (exclusiv online),"[[null,""47,76 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-bomfaier-pentru-metal-stanley-1-15-123-300-mm-3584140.html,https://static3.evomag.ro/img?file=products%2F3584%2F3584140%2F1495635393bmf.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5439,"Fierastrau traforaj Stanley STHT0-20128, 110 mm",In stoc (exclusiv online),"[[null,""86,99 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-fierastrau-traforaj-stanley-stht0-20128-110-mm-3584843.html,https://static3.evomag.ro/img?file=products%2F3584%2F3584843%2F1496147459trf.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5440,"Set 5 lame cutter Stanley 0-11-983, trapezoidale, tais tip carlig",In stoc (exclusiv online),"[[null,""6,02 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-set-5-lame-cutter-stanley-0-11-983-trapezoidale-tais-tip-carlig-3585076.html,https://static3.evomag.ro/img?file=products%2F3585%2F3585076%2F1496235434was.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5441,"Disc diamantat de taiere segmentat Bosch ECO for Universal 115x22.2x2 mm, taiere uscata, calitate standard",In stoc (exclusiv online),"[[null,""21,00 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/bosch-disc-diamantat-de-taiere-segmentat-bosch-eco-for-universal-115x22.2x2-mm-taiere-uscata-calitate-standard-3672346.html,https://static3.evomag.ro/img?file=products%2F3672%2F3672346%2F1547188910sld1.JPG&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5442,Cutter cu lama Stanley Dynagrip Quick Change,In stoc (exclusiv online),"[[null,""87,99 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-cutter-cu-lama-stanley-dynagrip-quick-change-115661.html,https://static3.evomag.ro/img?file=products%2F115%2F115661%2FCutit+cu+lama+Stanley+Dynagrip+Quick+Change.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5443,Cutter Stanley 199E cu lama trapez,In stoc (exclusiv online),"[[null,""21,01 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-cutter-stanley-199e-cu-lama-trapez-115692.html,https://static3.evomag.ro/img?file=products%2F115%2F115692%2FCutter+Stanley+199E+cu+lama+trapez.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5444,"Foarfeca pentru tabla Stanley taietura pe dreapta, lama de 90mm",In stoc (exclusiv online),"[[null,""68,99 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-foarfeca-pentru-tabla-stanley-taietura-pe-dreapta-lama-de-90mm-115702.html,https://static3.evomag.ro/img?file=products%2F115%2F115702%2FFoarfeca+pentru+tabla+Stanley+taietura+pe+dreapta%2C+lama+de+90mm.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5445,"Cutter Stanley 2-10-099, lame trapezoidale retractabile, 155 mm",In stoc (exclusiv online),"[[null,""24,30 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-cutter-stanley-2-10-099-lame-trapezoidale-retractabile-155-mm-3584016.html,https://static3.evomag.ro/img?file=products%2F3584%2F3584016%2F1495615565cutter.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
